,"deklination","stamme"
"abortivus","1./2.","o-/a-stamme"
"absconditus","1./2.","o-/a-stamme"
"absens","3.","t-stamme"
"abundans","3.","t-stamme"
"acceptabilis","3.","i-stamme"
"acceptus","1./2.","o-/a-stamme"
"acutus","1./2.","o-/a-stamme"
"admirabilis","3.","i-stamme"
"adulescens","3.","t-stamme"
"adulter","1./2.","o-/a-stamme"
"adversarius","1./2.","o-/a-stamme"
"adversus","1./2.","o-/a-stamme"
"aeger","1./2.","o-/a-stamme"
"aegrotus","1./2.","o-/a-stamme"
"aequalis","3.","i-stamme"
"aequus","1./2.","o-/a-stamme"
"aereus","1./2.","o-/a-stamme"
"aeternus","1./2.","o-/a-stamme"
"aethiops","3.","p-stamme"
"africus","1./2.","o-/a-stamme"
"albus","1./2.","o-/a-stamme"
"Alexandrinus","1./2.","o-/a-stamme"
"alienus","1./2.","o-/a-stamme"
"aliquantus","1./2.","o-/a-stamme"
"alter","1./2.","o-/a-stamme"
"altilis","3.","i-stamme"
"altus","1./2.","o-/a-stamme"
"amabilis","3.","i-stamme"
"amarus","1./2.","o-/a-stamme"
"ambitiosus","1./2.","o-/a-stamme"
"ambo","uregelmæssig ","uregelmæssig "
"amplus","1./2.","o-/a-stamme"
"angularis","3.","i-stamme"
"angustus","1./2.","o-/a-stamme"
"animaequus","1./2.","o-/a-stamme"
"animalis","3.","i-stamme"
"Antiochenus","1./2.","o-/a-stamme"
"antiquus","1./2.","o-/a-stamme"
"apertus","1./2.","o-/a-stamme"
"aptus","1./2.","o-/a-stamme"
"arcanus","1./2.","o-/a-stamme"
"arcarius","1./2.","o-/a-stamme"
"argenteus","1./2.","o-/a-stamme"
"aridus","1./2.","o-/a-stamme"
"artus","1./2.","o-/a-stamme"
"asinarius","1./2.","o-/a-stamme"
"asper","1./2.","o-/a-stamme"
"assus","1./2.","o-/a-stamme"
"astutus","1./2.","o-/a-stamme"
"Atheniensis","3.","i-stamme"
"auctumnalis","3.","i-stamme"
"Augustus","1./2.","o-/a-stamme"
"aureus","1./2.","o-/a-stamme"
"austeris","3.","i-stamme"
"avarus","1./2.","o-/a-stamme"
"azymus","1./2.","o-/a-stamme"
"barbarus","1./2.","o-/a-stamme"
"beatus","1./2.","o-/a-stamme"
"benedictus","1./2.","o-/a-stamme"
"beneficus","1./2.","o-/a-stamme"
"benignus","1./2.","o-/a-stamme"
"Beroensis","3.","i-stamme"
"bilibris","3.","i-stamme"
"bini","1./2.","o-/a-stamme"
"bithalassus","1./2.","o-/a-stamme"
"bonus","1./2.","o-/a-stamme"
"brevis","3.","i-stamme"
"caecus","1./2.","o-/a-stamme"
"caelestis","3.","i-stamme"
