,"deklination","stamme"
"abominatio","3.","n-stamme"
"absentia","1.","a-stamme"
"absinthium","2.","o-stamme"
"abundantia","1.","a-stamme"
"abyssus","2.","o-stamme"
"acceptio","3.","n-stamme"
"acceptor","3.","r-stamme"
"accessus","2.","o-stamme"
"accola","1.","a-stamme"
"accubitus","4.","u-stamme"
"accusatio","3.","n-stamme"
"accusator","3.","r-stamme"
"acetum","2.","o-stamme"
"acquisitio","3.","n-stamme"
"actio","3.","n-stamme"
"actor","3.","r-stamme"
"actus","4.","u-stamme"
"aculeus","2.","o-stamme"
"acus","4.","u-stamme"
"adiutor","3.","r-stamme"
"adiutorium","2.","o-stamme"
"admiratio","3.","n-stamme"
"adnuntiator","3.","r-stamme"
"adoptio","3.","n-stamme"
"adorator","3.","r-stamme"
"adquisitio","3.","n-stamme"
"adulatio","3.","n-stamme"
"adulescens","3.","t-stamme"
"adulter","2. (-er)","o-stamme"
"adultera","1. (-er)","a-stamme"
"adulterium","2.","o-stamme"
"advena","1.","a-stamme"
"adventus","4.","u-stamme"
"adversarius","2.","o-stamme"
"aedes","3.","i-stamme"
"aedificatio","3.","n-stamme"
"aegrotatio","3.","n-stamme"
"Aegyptius","2.","o-stamme"
"aemulatio","3.","n-stamme"
"aemulator","3.","r-stamme"
"aequalitas","3.","t-stamme"
"aequitas","3.","t-stamme"
"aer","2. (-er)","o-stamme"
"aeramentum","2.","o-stamme"
"aerarius","2.","o-stamme"
"aerumna","1.","a-stamme"
"aes","3.","r-stamme"
"aestas","3.","t-stamme"
"aestus","4.","u-stamme"
"aetas","3.","t-stamme"
"affectio","3.","n-stamme"
"afflictio","3.","n-stamme"
"ager","2. (-er)","o-stamme"
"agnitio","3.","n-stamme"
"agnos","2.","o-stamme"
"agnus","2.","o-stamme"
"agon","3.","n-stamme"
"agonia","1.","a-stamme"
"agricola","1.","a-stamme"
"agricultura","1.","a-stamme"
"ala","1.","a-stamme"
"alabaster","2. (-er)","o-stamme"
"alapa","1.","a-stamme"
"alba","1.","a-stamme"
"alienigena","1.","a-stamme"
"alienum","2.","o-stamme"
"alimentum","2.","o-stamme"
"allegoria","1.","a-stamme"
"aloe","1.","a-stamme"
"alpha","1.","a-stamme"
"altare","3.","i-stamme"
"altarium","2.","o-stamme"
"altitudo","3.","n-stamme"
"amaritudo","3.","n-stamme"
"ambitio","3.","n-stamme"
"amethistus","2.","o-stamme"
"amica","1.","a-stamme"
"amicus","2.","o-stamme"
"amissio","3.","n-stamme"
"amomum","2.","o-stamme"
"amphora","1.","a-stamme"
"anathema","1.","a-stamme"
"ancilla","1.","a-stamme"
"ancora","1.","a-stamme"
"anethum","2.","o-stamme"
"angelus","2.","o-stamme"
"angulus","2.","o-stamme"
"angustia","1.","a-stamme"
"anima","1.","a-stamme"
"animal","3.","l-stamme"
"animositas","3.","t-stamme"
"animus","2.","o-stamme"
"annus","2.","o-stamme"
"antecessor","3.","r-stamme"
"anulus","2.","o-stamme"
"apertio","3.","n-stamme"
"apex","3.","c-stamme"
"apocalypsis","3.","i-stamme"
"apostolatus","4.","u-stamme"
"apostolus","2.","o-stamme"
"aqua","1.","a-stamme"
"aquila","1.","a-stamme"
"aquilo","2.","o-stamme"
"ara","1.","a-stamme"
"Arabs","3.","b-stamme"
"aratrum","2.","o-stamme"
"arbor","3.","r-stamme"
"arca","1.","a-stamme"
"archangelus","2.","o-stamme"
"archisynagogus","2.","o-stamme"
"architectus","2.","o-stamme"
"architriclinus","2.","o-stamme"
"arcus","4.","u-stamme"
"area","1.","a-stamme"
"argentarius","2.","o-stamme"
"argentum","2.","o-stamme"
"argumentum","2.","o-stamme"
"arma","2.","o-stamme"
"armamenta","1.","a-stamme"
"armatura","1.","a-stamme"
"aroma","3.","t-stamme"
"ars","3.","i-stamme"
"artemon","3.","n-stamme"
"artifex","3.","c-stamme"
"artificium","2.","o-stamme"
"as","3.","i-stamme"
"asellus","2.","o-stamme"
"Asiani","2.","o-stamme"
"asina","1.","a-stamme"
"asinus","2.","o-stamme"
"aspectus","4.","u-stamme"
"aspis","3.","d-stamme"
"assumentum","2.","o-stamme"
"assumptio","3.","n-stamme"
"astutia","1.","a-stamme"
"atramentum","2.","o-stamme"
"atrium","2.","o-stamme"
"auctor","3.","r-stamme"
"auditor","3.","r-stamme"
"auditorium","2.","o-stamme"
"auditus","4.","u-stamme"
"augmentum","2.","o-stamme"
"aura","1.","a-stamme"
"aurea","1.","a-stamme"
"auricula","1.","a-stamme"
"auris","3.","i-stamme"
"aurum","2.","o-stamme"
"auster","2. (-er)","o-stamme"
"auxilium","2.","o-stamme"
"avaritia","1.","a-stamme"
"aviditas","3.","t-stamme"
"avis","3.","i-stamme"
"azyma","1.","a-stamme"
"azymum","2.","o-stamme"
"baptisma","3.","t-stamme"
"baptismum","2.","o-stamme"
"Baptista","1.","a-stamme"
