"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)","Stamme","Tekst"
1,"villa","villa","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Villa Claudiae"
1,"Claudiae","Claudia","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,
2,"Sicilia","Sicilia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Sicilia insula est. "
2,"insula","insula","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
2,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)",,,
3,"Italia","Italia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Italia paeninsula magna est. "
3,"paeninsula","paeninsula","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
3,"magna","magnus","adjective",,"singular",,,,"feminine","nominative","positive","ja",,"1./2.","o-/a-stamme",
3,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,
4,"Campania","Campania","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Campania in Italia sita est. "
4,"in","in","preposition",,,,,,,,,"nej",,,,
4,"Italia","Italia","noun",,"singular",,,,"feminine","ablative",,"ja",,"1.","a-stamme",
4,"sita ","situs","adjective",,"singular",,,,"feminine","nominative",,"ja",,"1./2.","o-/a-stamme",
4,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
